Food Name,Calories,Protein_g,Carbohydrates_g,taste,prep_time,Instructions,Description,Fat,Ingredients,No_serving
Buckwheat And Pumpkin Bowl (seed-Mix),140,3.5,18,Astringent,20 M,"Cook buckwheat and pumpkin. Add chia seeds and flax seeds, mix with olive oil and black pepper. Serve warm.",Seed-mix pumpkin bowl improves nutrient density and satiety.,5,"Buckwheat,Pumpkin,Olive Oil,Sunflower Seeds,Pumpkin Seeds,Black Pepper",2
Buckwheat And Radish Bowl (coriander-Mint),130,3,16,Astringent,20 M,"Cook buckwheat and radish. Add coriander and mint, mix with olive oil and black pepper. Serve warm.",Coriander-mint radish bowl refreshes and supports detox.,5,"Buckwheat,Radish,Olive Oil,Coriander,Mint,Black Pepper",2
Buckwheat And Radish Bowl (no-Salt-Added),150,3,14,Astringent,20 M,Steam buckwheat and radish. Add olive oil and black pepper. Serve warm without salt.,No-salt radish bowl suits low-sodium diets.,5,"Buckwheat,Radish,Olive Oil,Black Pepper",1–2
Buckwheat And Radish Bowl (seed-Mix),120,3.5,12,Astringent,20 M,"Cook buckwheat and radish. Add chia seeds and flax seeds, mix with olive oil and black pepper. Serve warm.",Seed-mix radish bowl enhances minerals and texture.,5,"Buckwheat,Radish,Olive Oil,Sunflower Seeds,Pumpkin Seeds,Black Pepper",1–2
Buckwheat And Raw Banana Bowl (no-Salt-Added),130,3,10,Astringent,20 M,Steam buckwheat and raw banana. Add olive oil and black pepper. Serve warm without salt.,No-salt raw banana bowl supports gentle digestion.,5,"Buckwheat,Raw Banana,Olive Oil,Black Pepper",1
Buckwheat And Raw Banana Bowl (peppery),140,3,8,Spicy,20 M,"Cook buckwheat and raw banana. Add black pepper and olive oil, mix well. Serve warm.",Peppery raw banana bowl adds mild spice and fiber.,5,"Buckwheat,Raw Banana,Olive Oil,Black Pepper",1
Buckwheat And Sweet Potato Bowl (fenugreek-Seasoned),150,3.5,6,Bitter,20 M,"Cook buckwheat and sweet potato. Add fenugreek seeds, mix with olive oil and black pepper. Serve warm.",Fenugreek-seasoned sweet potato bowl aids glucose control.,5,"Buckwheat,Sweet Potato,Olive Oil,Fenugreek Seeds,Black Pepper",4
Buckwheat And Sweet Potato Bowl (herb-Crunch),160,3,5,Astringent,20 M,"Cook buckwheat and sweet potato. Add roasted basil leaves, mix with olive oil and black pepper. Serve warm.",Herb-crunch sweet potato bowl adds antioxidants and flavor.,5,"Buckwheat,Sweet Potato,Olive Oil,Basil Leaves,Black Pepper",2
Buckwheat And Sweet Potato Bowl (peppery),140,3,4,Spicy,20 M,Cook buckwheat and sweet potato. Add crushed black pepper and mix with olive oil. Serve warm.,Peppery sweet potato bowl boosts metabolism and warmth.,5,"Buckwheat,Sweet Potato,Olive Oil,Black Pepper",1
Buckwheat And Turnip Bowl (cumin-Roasted),130,3.5,3.5,Astringent,20 M,Roast buckwheat and turnip with cumin seeds. Add olive oil and black pepper. Serve warm.,Cumin-roasted turnip bowl aids digestion and boosts fiber.,5,"Buckwheat,Turnip,Cumin Seeds,Olive Oil,Black Pepper",2
Buckwheat And Turnip Bowl (curry-Leaf),120,3,4,"Astringent,Sour",20 M,Cook buckwheat and turnip. Add curry leaves and Lemon juice. Mix well with olive oil. Serve warm.,Curry leaf turnip bowl supports liver and gut health.,5,"Buckwheat,Turnip,Curry Leaves,Lemon,Olive Oil",1
Buckwheat And Turnip Bowl (seed-Mix),100,3,5,Astringent,20 M,Cook buckwheat and turnip. Add chia seeds and flax seeds. Mix with olive oil. Serve warm.,Seed-mix turnip bowl rich in protein and minerals.,5,"Buckwheat,Turnip,Sunflower Seeds,Pumpkin Seeds,Olive Oil",2
Buckwheat Bowl (no-Salt-Added),120,3.5,6,Astringent,15 M,Steam buckwheat. Add olive oil. Serve warm without salt.,No-salt bowl suits low-sodium diets.,4,"Buckwheat,Olive Oil",3
Buckwheat Bowl (seed-Mix),140,3,6.5,Astringent,15 M,Cook buckwheat. Add chia seeds and flax seeds. Mix with olive oil. Serve warm.,Seed-mix bowl provides healthy fats and minerals.,5,"Buckwheat,Sunflower Seeds,Pumpkin Seeds,Olive Oil",3
Buckwheat Bowl (sprouted),130,3,7,Astringent,15 M,Soak and sprout buckwheat. Steam and serve warm with olive oil.,Sprouted bowl boosts enzymes and easy digestion.,4,"Buckwheat,Olive Oil",2
Buckwheat Bowls (no-Salt-Added),150,3.5,8,Astringent,15 M,Steam sprouted buckwheat. Serve plain without salt.,No-salt sprouted bowl is detox-friendly.,4,"Buckwheat,Olive Oil",2
Buckwheat Dosa Variant (fenugreek-Seasoned),120,3,8.5,"Bitter,Astringent",20 M,Soak buckwheat with fenugreek seeds. Ferment and make dosa batter. Cook on pan with olive oil. Serve warm.,Fenugreek-seasoned dosa improves glucose balance.,5,"Buckwheat,Fenugreek Seeds,Olive Oil",2
Buckwheat Idli Variant (seed-Mix),130,3,9,Astringent,20 M,Prepare idli batter with buckwheat. Add chia seeds and flax seeds. Steam for 10 minutes. Serve warm.,Seed-mix idli variant adds texture and nutrients.,5,"Buckwheat,Sunflower Seeds,Pumpkin Seeds,Olive Oil",2
Buckwheat Idli Variant (turmeric-Ginger),140,3.5,10,Bitter,20 M,Make idli batter with buckwheat. Add turmeric and ginger paste. Steam and serve warm with olive oil.,Turmeric-ginger idli enhances immunity and digestion.,5,"Buckwheat,Turmeric,Ginger,Olive Oil",2
Buckwheat Kebab (baked) (coriander-Mint),150,3,10.5,"Astringent,Sour",25 M,Cook buckwheat. Mix with coriander and mint. Bake lightly with olive oil. Serve warm.,Coriander-mint kebab adds freshness and digestive aid.,5,"Buckwheat,Coriander,Mint,Olive Oil",2
Buckwheat Kebab (baked) (fermented),160,3,11,Sour,25 M,Ferment buckwheat mix overnight. Shape and bake. Serve warm with olive oil.,Fermented kebab boosts gut health and flavor.,5,"Buckwheat,Olive Oil",2
Buckwheat Kebab (baked) (Lemon-Dressed),140,3.5,11.5,Sour,25 M,Bake buckwheat mix with Lemon juice. Serve hot with olive oil.,Lemon-dressed kebab is tangy and energizing.,5,"Buckwheat,Lemon,Olive Oil",2
Buckwheat Kebab (baked) (peppery),130,3,12,Spicy,25 M,Mix buckwheat batter with crushed black pepper. Shape and bake with olive oil. Serve warm.,Peppery kebab adds spice and warmth.,5,"Buckwheat,Black Pepper,Olive Oil",2
Buckwheat Kebab (baked) (pulao-Style),120,3,12.5,Astringent,25 M,"Make pulao-style buckwheat kebab mix. Bake lightly with carrot, beans, olive oil, and black pepper. Serve warm.",Pulao-style kebab adds fiber and balanced texture.,5,"Buckwheat,Carrot,Beans,Olive Oil,Black Pepper",2
Buckwheat Kebab (baked) (sprouted),100,3.5,13,Astringent,25 M,Steam sprouted buckwheat mix. Bake lightly with olive oil. Serve warm.,Sprouted kebab rich in enzymes and light on digestion.,4,"Buckwheat,Olive Oil",2
Buckwheat Khichdi (herb-Crunch),120,3,13.5,Astringent,20 M,Cook buckwheat and vegetables. Add herb-crunch (coriander) and olive oil. Serve warm.,Herb-crunch khichdi supports detox and digestion.,5,"Buckwheat,Carrot,Beans,Coriander,Olive Oil",1
Buckwheat Khichdi (Lemon-Dressed),140,4,14,Sour,20 M,Cook buckwheat with vegetables. Add Lemon juice and olive oil. Serve warm.,Lemon-dressed khichdi gives tangy flavor and vitamin C.,5,"Buckwheat,Carrot,Beans,Lemon,Olive Oil",1
Buckwheat Khichdi (mustard-Toss),130,5,14.5,Bitter,20 M,Cook buckwheat with mustard seeds. Add olive oil and black pepper. Serve warm.,Mustard-tossed khichdi adds flavor and promotes metabolism.,5,"Buckwheat,Mustard Seeds,Olive Oil",1
Buckwheat Khichdi (no-Salt-Added),150,5,15,Astringent,15 M,Steam buckwheat. Add olive oil. Serve warm without salt.,No-salt khichdi suits mild diets.,4,"Buckwheat,Olive Oil",1
Buckwheat Kofta (baked) (coriander-Mint),120,4.5,15.5,Astringent,25 M,Shape buckwheat kofta. Bake lightly with coriander and mint. Serve warm with olive oil.,Coriander-mint kofta promotes digestion and freshness.,5,"Buckwheat,Coriander,Mint,Olive Oil",1
Buckwheat Pancake (peppery),130,4.5,16,Spicy,15 M,Mix buckwheat batter with black pepper. Cook on griddle with olive oil. Serve warm.,Peppery pancake boosts metabolism.,5,"Buckwheat,Black Pepper,Olive Oil",1
Buckwheat Paniyaram (turmeric-Ginger),140,4,16.5,Bitter,20 M,Ferment buckwheat batter. Add turmeric and ginger. Cook in paniyaram pan with olive oil. Serve warm.,Turmeric-ginger paniyaram supports immunity and balance.,5,"Buckwheat,Turmeric,Ginger,Olive Oil",1
Buckwheat Porridge (fermented),150,4,17,Astringent,35 Minutes,Soak buckwheat overnight for fermentation. Blend into smooth batter. Ferment 6 hours. Cook porridge on low heat with olive oil and cumin seeds. Serve warm.,Fermented Buckwheat aids digestion and helps reduce bad cholesterol through improved gut health.,7,"Buckwheat, Cumin Seeds, Olive Oil, Salt",1
Buckwheat Porridge (peppery),160,3.5,17.5,Spicy,25 Minutes,Roast buckwheat in olive oil until golden. Add crushed black pepper. Simmer until creamy. Serve hot.,Peppery Buckwheat Porridge promotes metabolism and supports cholesterol balance.,8,"Buckwheat, Black Pepper Powder, Olive Oil, Salt",1
Buckwheat Porridge (turmeric-Ginger),140,4,18,"Bitter, Spicy",30 Minutes,Boil buckwheat until soft. Add grated ginger and turmeric powder. Cook with olive oil until aromatic. Simmer 10 minutes. Serve warm.,Turmeric and Ginger reduce inflammation and help manage cholesterol naturally.,9,"Buckwheat, Turmeric Powder, Ginger, Olive Oil, Salt",1
Buckwheat Pulao (fenugreek-Seasoned),130,3.5,18.5,"Bitter, Astringent",30 Minutes,Roast fenugreek seeds in groundnut oil. Add buckwheat and sauté lightly. Mix in cumin seeds and salt. Add chopped spinach and cook until soft. Serve warm.,Fenugreek enhances cholesterol control by reducing LDL absorption.,10,"Buckwheat, Fenugreek Seeds, Spinach, Cumin Seeds, Groundnut Oil, Salt",1
Buckwheat Roast (fenugreek-Seasoned),120,6,15,Bitter,28 Minutes,Roast fenugreek seeds in groundnut oil. Add buckwheat batter and spread thin. Cook both sides until crisp. Sprinkle with turmeric powder. Serve hot.,This roast reduces cholesterol with fiber-rich Buckwheat and bitter Fenugreek balance.,6,"Buckwheat, Fenugreek Seeds, Turmeric Powder, Groundnut Oil, Salt",1
Buckwheat Roast (Lemon-Dressed),100,6,18,Sour,27 Minutes,Mix buckwheat flour with lemon. Add olive oil and whisk into batter. Spread on pan to roast. Cook until edges brown. Serve with fresh mint leaves.,Lemon in this dish helps detoxify and supports HDL cholesterol levels.,8,"Buckwheat, Lemon, Olive Oil, Mint Leaves, Salt",1
Buckwheat Roast (no-Salt-Added),120,6,17,Astringent,25 Minutes,Prepare buckwheat batter. Roast on pan with olive oil without salt. Flip to cook evenly. Sprinkle turmeric powder. Serve plain.,A no-salt option supports cholesterol regulation and heart-friendly diets.,5,"Buckwheat, Turmeric Powder, Olive Oil",1
Buckwheat Salad (curry-Leaf),140,5,12,"Astringent, Bitter",20 Minutes,Boil buckwheat. Add curry leaves sautéed in olive oil. Mix with cumin seeds and salt. Toss gently. Serve warm.,Curry Leaves help lower LDL cholesterol and cleanse the digestive system.,7,"Buckwheat, Curry Leaves, Cumin Seeds, Olive Oil, Salt",1
Buckwheat Salad (no-Salt-Added),130,5,13,Astringent,18 Minutes,Boil buckwheat. Mix with olive oil and turmeric powder. Avoid salt. Serve warm and garnish with lemon.,A low-sodium Buckwheat Salad improves cholesterol and heart health naturally.,6,"Buckwheat, Olive Oil, Turmeric Powder, Lemon",1
Buckwheat Salad (seed-Mix),150,5,14,Bitter,Total in 20 M,"Mix Boiled Buckwheat with Sunflower Seeds, Pumpkin Seeds, Flax Seeds, Chia Seeds, add chopped Cucumber, Tomato, drizzle Olive Oil, toss well.","Seed-Mix Buckwheat Salad is rich in fiber and omega-3s, helping lower cholesterol naturally.",9,"Buckwheat, Sunflower Seeds, Pumpkin Seeds, Flax Seeds, Chia Seeds, Cucumber, Tomato, Olive Oil",1
Buckwheat Sandwich (coriander-Mint),120,4,16,Spicy,Total in 25 M,"Toast Buckwheat Bread, spread Coriander Leaves and Mint Leaves, add Cucumber Slices, Tomato Slices, drizzle Olive Oil, assemble sandwich.",Coriander-Mint Buckwheat Sandwich supports heart health and is rich in fiber while being low in cholesterol.,8,"Buckwheat Bread, Coriander Leaves, Mint Leaves, Cucumber, Tomato, Olive Oil",1
Buckwheat Sandwich (fermented),130,4,18,Astringent,Total in 35 M,"Ferment Buckwheat Batter, cook Pancakes, layer Spinach, Carrot, Red Bell Pepper, drizzle Sunflower Oil, assemble sandwich.",Fermented Buckwheat Sandwich enhances gut health and helps maintain healthy cholesterol.,7,"Buckwheat Batter, Spinach, Carrot, Red Bell Pepper, Sunflower Oil",1
Buckwheat Sandwich (ginger-Garlic),140,4.5,15,Spicy,Total in 30 M,"Mix Buckwheat Bread with Ginger Paste and Garlic Paste, add Grated Zucchini and Lettuce, drizzle Olive Oil, assemble sandwich.",Ginger-Garlic Buckwheat Sandwich provides antioxidants and supports heart health.,8,"Buckwheat Bread, Ginger Paste, Garlic Paste, Zucchini, Lettuce, Olive Oil",1
Buckwheat Sandwich (herb-Crunch),150,4.5,17,Bitter,Total in 25 M,"Toast Buckwheat Bread, add Roasted Fenugreek Leaves, chopped Cabbage and Spinach, drizzle Olive Oil, assemble sandwich.","Herb-Crunch Buckwheat Sandwich is rich in greens and fiber, beneficial for cholesterol control.",8,"Buckwheat Bread, Fenugreek Leaves, Cabbage, Spinach, Olive Oil",1
Buckwheat Sandwich (mustard-Toss),160,4.5,19,Spicy,Total in 20 M,"Toast Buckwheat Bread, add Mustard Seeds, sliced Carrot and Capsicum, drizzle Groundnut Oil, assemble sandwich.","Mustard-Toss Buckwheat Sandwich is flavorful, cholesterol-friendly, and low in saturated fat.",7,"Buckwheat Bread, Mustard Seeds, Carrot, Capsicum, Groundnut Oil",1
Buckwheat Sandwich (no-Salt-Added),140,4,20,Astringent,Total in 25 M,"Toast Buckwheat Bread, layer boiled Potato Slices, Lettuce, Tomato, drizzle Olive Oil, assemble sandwich.","No-Salt-Added Buckwheat Sandwich is low in sodium and cholesterol, supporting heart health.",7,"Buckwheat Bread, Potato, Lettuce, Tomato, Olive Oil",1
Buckwheat Sandwich (peppery),130,4,22,Spicy,Total in 25 M,"Toast Buckwheat Bread, sprinkle Black Pepper, add Cucumber and Carrot slices, drizzle Sunflower Oil, assemble sandwich.","Peppery Buckwheat Sandwich boosts flavor without added cholesterol, good for heart health.",8,"Buckwheat Bread, Black Pepper, Cucumber, Carrot, Sunflower Oil",1
Buckwheat Soup (fenugreek-Seasoned),120,4,18,Bitter,Total in 30 M,"Saut? Fenugreek Leaves in Olive Oil, add chopped Onion, Garlic, Carrot, and Celery, cook Buckwheat, combine, simmer, serve hot.",Fenugreek-Seasoned Buckwheat Soup is low in cholesterol and supports healthy blood lipid levels.,7,"Buckwheat, Fenugreek Leaves, Olive Oil, Onion, Garlic, Carrot, Celery",1
Buckwheat Tikka (grilled) (ginger-Garlic),100,3.5,20,Spicy,Total in 35 M,"Marinate Buckwheat Cubes in Ginger Paste and Garlic Paste, add sliced Capsicum and Zucchini, drizzle Olive Oil, grill until cooked.",Ginger-Garlic Buckwheat Tikka is protein-rich and helps manage cholesterol.,8,"Buckwheat, Ginger Paste, Garlic Paste, Capsicum, Zucchini, Olive Oil",1
Buckwheat Tikka (grilled) (herb-Crunch),120,3.5,19,Bitter,Total in 35 M,"Roast Buckwheat with Fenugreek Leaves, chopped Cabbage, Spinach, drizzle Olive Oil, grill until crispy.",Herb-Crunch Buckwheat Tikka is high in fiber and heart-healthy.,8,"Buckwheat, Fenugreek Leaves, Cabbage, Spinach, Olive Oil",1
Buckwheat Tikka (grilled) (sprouted),140,3.5,21,Astringent,Total in 30 M,"Sprout Buckwheat, combine with chopped Tomato, Cucumber, Carrot, drizzle Olive Oil, grill lightly.","Sprouted Buckwheat Tikka provides fiber and antioxidants, supporting cholesterol management.",7,"Buckwheat, Tomato, Cucumber, Carrot, Olive Oil",1
Buckwheat Tikka (grilled) (turmeric-Ginger),130,4,25,Spicy,Total in 35 M,"Marinate Buckwheat Cubes with Turmeric Powder and Ginger Paste, add sliced Zucchini and Capsicum, drizzle Olive Oil, grill.",Turmeric-Ginger Buckwheat Tikka offers anti-inflammatory benefits and is low in cholesterol.,8,"Buckwheat, Turmeric Powder, Ginger Paste, Zucchini, Capsicum, Olive Oil",1
Buckwheat Upma (no-Salt-Added),150,4,20,Astringent,Total in 25 M,"Cook Buckwheat with chopped Onion, Carrot, and Capsicum, drizzle Olive Oil, stir-fry until fluffy.",No-Salt-Added Buckwheat Upma is cholesterol-friendly and heart-healthy.,7,"Buckwheat, Onion, Carrot, Capsicum, Olive Oil",1
Buckwheat Wrap (herbed),120,4,12,Bitter,Total in 25 M,"Mix Buckwheat Flatbread with chopped Spinach, Fenugreek Leaves, and Coriander Leaves, drizzle Olive Oil, wrap tightly.",Herbed Buckwheat Wrap is fiber-rich and helps reduce cholesterol while being heart-friendly.,8,"Buckwheat Flatbread, Spinach, Fenugreek Leaves, Coriander Leaves, Olive Oil",1
Buckwheat Wrap (Lemon-Dressed),130,5,10,Sour,Total in 20 M,"Spread Lemon Juice on Buckwheat Flatbread, add Tomato Slices, Lettuce, Cucumber, drizzle Olive Oil, wrap.","Lemon-Dressed Buckwheat Wrap is refreshing, low in cholesterol, and rich in fiber.",7,"Buckwheat Flatbread, Lemon Juice, Tomato, Lettuce, Cucumber, Olive Oil",1
Bulgur And Banana Stem Bowl (cumin-Roasted),140,5,8,Spicy,Total in 30 M,"Roast Bulgur, add Cumin Seeds, chopped Banana Stem, drizzle Groundnut Oil, toss well.","Cumin-Roasted Bulgur And Banana Stem Bowl is high in fiber, helps lower cholesterol, and improves digestion.",8,"Bulgur, Cumin Seeds, Banana Stem, Groundnut Oil",1
Bulgur And Banana Stem Bowl (herb-Crunch),150,5,7,Bitter,Total in 30 M,"Roast Bulgur, add chopped Fenugreek Leaves, Carrot, Cabbage, drizzle Olive Oil, mix.",Herb-Crunch Bulgur And Banana Stem Bowl is rich in antioxidants and supports healthy cholesterol levels.,8,"Bulgur, Fenugreek Leaves, Banana Stem, Carrot, Cabbage, Olive Oil",2
Bulgur And Banana Stem Bowl (mustard-Toss),160,6,8,Spicy,Total in 25 M,"Toast Bulgur, add Mustard Seeds, sliced Carrot and Capsicum, drizzle Sunflower Oil, toss.",Mustard-Toss Bulgur And Banana Stem Bowl is low in saturated fat and cholesterol-friendly.,7,"Bulgur, Mustard Seeds, Banana Stem, Carrot, Capsicum, Sunflower Oil",1
Bulgur And Banana Stem Bowl (peppery),140,6,9,Spicy,Total in 25 M,"Mix Bulgur with Black Pepper, chopped Banana Stem, Carrot, drizzle Olive Oil, toss.","Peppery Bulgur And Banana Stem Bowl adds flavor without cholesterol, supporting heart health.",7,"Bulgur, Black Pepper, Banana Stem, Carrot, Olive Oil",1
